role,type
AGENTE ADMINISTRATIVO,servidor
ANALISTA DE TI,servidor
ANALISTA PROCESSOS ORGANIZACIONAIS - CERB,servidor
ANALISTA TECNICO,servidor
ANALISTA TECNICO (PODER EXECUTIVO),servidor
ANALISTA TECNICO MP MG,servidor
ASSESSOR ADMINISTRATIVO - CMP 4,servidor
ASSESSOR DE COMUNICACAO SOCIAL II - CMP 4,servidor
ASSESSOR DE GABINETE - CMP 6,servidor
ASSESSOR JURIDICO - CMP 5, unsolved
ASSESSOR TECNICO - CMP 4,servidor
ASSESSOR TECNICO DE INTELIGENCIA I - CMP 5,servidor
ASSESSOR TECNICO JURIDICO - CMP 5,servidor
ASSESSOR TECNICO PERICIAL - CMP 5,servidor
ASSESSOR TECNICO-JURIDICO DE PROMOTORIA - CMP 2,servidor
ASSISTENTE DE PROCURADORIA,servidor
ASSISTENTE DE PROGRAMACAO,servidor
ASSISTENTE TECNICO ADMINISTRATIVO,servidor
AUXILIAR ADMINISTRATIVO (PODER EXECUTIVO),servidor
AUXILIAR DE SERVICOS GERAIS,servidor
CABO, unsolved
CAPITAO (PODER EXECUTIVO), unsolved
COORDENADOR ADMINISTRATIVO I - CMP 4,servidor
COORDENADOR ADMINISTRATIVO II - CMP 3,servidor
COORDENADOR ADMINISTRATIVO III - CMP 2,servidor
COORDENADOR EXECUTIVO - CMP6,servidor
COORDENADOR PEDAGOGICO (PREFEITURA),servidor
COORDENADOR TECNICO - CMP 5,servidor
DIGITADOR,servidor
DIRETOR - CMP 6DIRETOR - CMP 6,servidor
ESCREVENTE CARTORIO (PODER JUDICIARIO),servidor
ESPECIALISTA EM FISCALIZACAO (PODER EXECUTIVO),servidor
ESPECIALISTA POLITICAS PUBLICAS (PODER EXECUTIVO),servidor
FISIOTERAPEUTA (PODER EXECUTIVO),servidor
GERENTE - CMP 4,servidor
GERENTE ADMINISTRATIVO REGIONAL - CMP 3,servidor
INVESTIGADOR DE POLICIA,unsolved
MAJOR (PODER EXECUTIVO),unsolved
MEDICO (PODER EXECUTIVO),servidor
MOTORISTA,servidor
OFICIAL ADMINISTRATIVO I - CMP 3,unsolved
OFICIAL ADMINISTRATIVO II - CMP 2,unsolved
OFICIAL ADMINISTRATIVO III - CMP 1,unsolved
PERITO TECNICO (PODER EXECUTIVO),servidor
PRIMEIRO SARGENTO,unsolved
PROCURADOR DE JUSTICA,membro
PROFESSOR (PODER EXECUTIVO),servidor
PROMOTOR DE ENTRANCIA FINAL,membro
PROMOTOR DE ENTRANCIA INICIAL,membro
PROMOTOR DE ENTRANCIA INTERMEDIARIA,membro
PROMOTOR DE JUSTICA SUBSTITUTO,membro
PROMOTOR ENTRANCIA INICIAL - INSS,membro
REGULADOS ASSISTENCIA SAUDE (EXECUTIVO),servidor
SOLDADO,unsolved
SUB TENENTE,unsolved
SUPERINTENDENTE - CMP 7,unsolved
TEC AUX ASSUNTOS CULTURAIS (PODER EXECUTIVO),servidor
TECNICO ADMINISTRATIVO (PODER EXECUTIVO),servidor
TENENTE,unsolved
TENENTE CORONEL (PODER EXECUTIVO),unsolved